address,reason,height,original_airdrop_amount,removed_liquidity,reported_time
sif1kags30uaa4t03xusmu4wpk9fsdxqeh7fpa4fym,removed_liquidity,3194864,327.997900813435,-13053.54995484701,2021-09-09 19:56:23.051005+00:00
sif1kfedg29uxufp883dt38m2j88mf2srfw2nl3t06,removed_liquidity,3203905,327.997900813435,-3522.230135279833,2021-09-09 19:56:23.174684+00:00
sif1kmkyj9sjqa6t4lffddekx3tz3gtvcsj0jzqval,removed_liquidity,3171921,327.997900813435,-3135.1232068728227,2021-09-09 19:56:23.298605+00:00
sif1kxx4h0zx3d5cm0tdsvu57kjqmdryxgqv7gpzmj,removed_liquidity,3143516,327.997900813435,-2346.182242421504,2021-09-09 19:56:23.422222+00:00
sif1lam9c6qwmkervqa8mqjzqvhz5klzhzctnk6yem,removed_liquidity,3150000,327.997900813435,-2702.050766550588,2021-09-09 19:56:23.546097+00:00
sif1lq7xkjwfacmm4zgc75h9lpvcdu2an80l3n0nuh,removed_liquidity,3184453,327.997900813435,-3097.7262214563843,2021-09-09 19:56:23.669901+00:00
sif1lsqfnlqatwaskr03zm4k4fdyeae6crmerxsjyw,removed_liquidity,3186636,327.997900813435,-3173.1651873813034,2021-09-09 19:56:23.793605+00:00
sif1mau6dxj2xr0s5v7rz9ud2yhufzdkjd8qy72tht,removed_liquidity,3148146,327.997900813435,-3285.57759336079,2021-09-09 19:56:23.917438+00:00
sif1mcvvvzq04f0dykmkrydumxph0wwxdj3ra24vyl,removed_liquidity,3131538,327.997900813435,-3139.6107214558706,2021-09-09 19:56:24.041353+00:00
sif1mgqy2p7e32wjhrt95gtjx4497xydsxecxl8c54,removed_liquidity,3189575,606.766857102463,-21285.946930925173,2021-09-09 19:56:24.165695+00:00
sif1ml80w86azstl4mshfhwd8pj5r8uggj8pqeasgh,removed_liquidity,3181369,327.997900813435,-3995.4284321857094,2021-09-09 19:56:24.290174+00:00
sif1mlc8szk07zn59arc6q47aatsn7fntnh97chtt8,removed_liquidity,3137561,327.997900813435,-3353.298821579508,2021-09-09 19:56:24.413964+00:00
sif1mmhjt9s3ut0gl5zcqqkatlxdxfghearfjwtqn5,removed_liquidity,3138042,445.791726105563,-1967.709449709824,2021-09-09 19:56:24.537874+00:00
sif1mnjhjrfu6040arsxwftzw046tv93zs69wkshul,removed_liquidity,3217011,327.997900813435,-3957.460479985226,2021-09-09 19:56:24.661625+00:00
sif1mt06w3pkyxlt9ps7rns4syda8t5gks9qv4dcp8,removed_liquidity,3131349,445.791726105563,-3769.5319877978422,2021-09-09 19:56:24.785578+00:00
sif1n43stugmgsxqql0uyvh29fekeff30anzamfu0v,removed_liquidity,3130804,445.791726105563,-3699.2155057523623,2021-09-09 19:56:24.909284+00:00
