"address","reason","height","original_airdrop_amount","liquidity_amount","qualified","id","report_time","is_active"
sif1vjrx0lks65yefnsz4xk92vugda2z25espxmjw2,add_liquidity,1967256,606.766857102463,595.8889451670258,true,578978,2021-06-25 09:25:29,true
sif15zac5vfmxuntrl2d35rkg0htw9wn45yc7qyrmf,add_liquidity,1967256,327.997900813435,321.3230578802284,true,579754,2021-06-25 09:36:47,true
sif17fjm09v3w0ta7uaw30za2wvrhkj63fyun5u3zp,add_liquidity,1967256,327.997900813435,322.28065321095994,true,579881,2021-06-25 09:36:55,true
sif18z68gwlrv6rmdl64hve0u9mqf8s7sv3d6qjqsq,add_liquidity,1967256,327.997900813435,317.15389689180813,true,580004,2021-06-25 09:37:03,true
sif1cca80k39r4yej6x0qc8pd7gx8wf8t7gzfe9mt4,add_liquidity,1967256,773.789626918998,749.6148905794104,true,580166,2021-06-25 09:37:14,true
sif1cqaklm6w7yuz3jk75cr207wvtp8c98jy8lmhes,add_liquidity,1967256,327.997900813435,318.79073788237173,true,580190,2021-06-25 09:37:15,true
sif1cz94vfa6n4rcppr9azsjujmf5xdju80j39gzvq,add_liquidity,1967256,327.997900813435,330.8519583835052,true,580207,2021-06-25 09:37:16,true
sif1e00we5y95n2dlu0a0226lwukh9zf35nwka4e25,add_liquidity,1967256,327.997900813435,336.8912178677417,true,580281,2021-06-25 09:37:21,true
sif1n2nxu2xqcwvxzz6hwpztc246v2ccav5q40fm66,add_liquidity,1967256,445.791726105563,433.291726105563,true,580964,2021-06-25 09:38:05,true
sif1p4ajcgnm2azfmpp78qg50q4p4d8q6v7wnzclt2,add_liquidity,1967256,327.997900813435,320.0808567538734,true,581046,2021-06-25 09:38:10,true
sif1p784rlcu56rs9x647vaee0df66wnpcvasdq7dt,add_liquidity,1967256,327.997900813435,321.5680129375621,true,581056,2021-06-25 09:38:11,true
sif1q76zfuxwqhe4rn5s3hf8sca57899eplavm6faz,add_liquidity,1967256,327.997900813435,326.90384044020414,true,581142,2021-06-25 09:38:16,true
sif1tq0ftfs4akmtxmegsp8egyh89y55rlywzsqcal,add_liquidity,1967256,724.560682394591,711.0641089340638,true,581421,2021-06-25 09:38:34,true
